#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACOX2	ACSL4	9606.ENSP00000307697	9606.ENSP00000339787	0	0	0	0	0	0.137	0.900	0	0.910
ACOX2	ACSL6	9606.ENSP00000307697	9606.ENSP00000368566	0	0	0	0	0	0.213	0.900	0	0.917
ACOX2	ACSL1	9606.ENSP00000307697	9606.ENSP00000422607	0	0	0	0	0	0.213	0.900	0	0.917
ACOX2	ACSL5	9606.ENSP00000307697	9606.ENSP00000348429	0	0	0	0	0	0.213	0.900	0	0.917
ACOX2	SCP2	9606.ENSP00000307697	9606.ENSP00000360569	0	0	0	0	0	0.534	0.900	0	0.951
ACOX3	EHHADH	9606.ENSP00000348775	9606.ENSP00000231887	0	0	0	0	0	0.171	0.900	0	0.913
ACOX3	SLC27A2	9606.ENSP00000348775	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0	0.900
ACOX3	CPT2	9606.ENSP00000348775	9606.ENSP00000360541	0	0	0	0	0	0.152	0.900	0	0.911
ACOX3	SCP2	9606.ENSP00000348775	9606.ENSP00000360569	0	0	0	0	0	0.212	0.900	0	0.917
ACSBG1	FADS2	9606.ENSP00000258873	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ACSBG2	FADS2	9606.ENSP00000465589	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ACSL1	TBL1X	9606.ENSP00000422607	9606.ENSP00000217964	0	0	0	0	0	0.056	0.900	0	0.901
ACSL1	CREBBP	9606.ENSP00000422607	9606.ENSP00000262367	0	0	0	0	0	0	0.900	0	0.900
ACSL1	FADS2	9606.ENSP00000422607	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ACSL1	NCOA1	9606.ENSP00000422607	9606.ENSP00000385216	0	0	0	0	0	0	0.900	0	0.900
ACSL1	PPARA	9606.ENSP00000422607	9606.ENSP00000385523	0	0	0	0	0	0	0.900	0	0.900
ACSL1	NCOA2	9606.ENSP00000422607	9606.ENSP00000399968	0	0	0	0	0	0	0.900	0	0.900
ACSL1	TBL1XR1	9606.ENSP00000422607	9606.ENSP00000405574	0	0	0	0	0	0.056	0.900	0	0.901
ACSL1	RXRA	9606.ENSP00000422607	9606.ENSP00000419692	0	0	0	0	0	0	0.900	0	0.900
ACSL3	FADS2	9606.ENSP00000350012	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ACSL4	FADS2	9606.ENSP00000339787	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ACSL5	FADS2	9606.ENSP00000348429	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ACSL6	FADS2	9606.ENSP00000368566	9606.ENSP00000278840	0	0	0	0	0	0	0.900	0	0.900
ADAM17	NGFR	9606.ENSP00000309968	9606.ENSP00000172229	0	0	0	0	0	0	0.900	0	0.900
ADAM17	MAPK14	9606.ENSP00000309968	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0	0.900
ADAM17	HBEGF	9606.ENSP00000309968	9606.ENSP00000230990	0	0	0	0	0	0	0.900	0	0.900
ADAM17	EREG	9606.ENSP00000309968	9606.ENSP00000244869	0	0	0	0	0	0	0.900	0	0.900
ADAM17	DLL4	9606.ENSP00000309968	9606.ENSP00000249749	0	0	0	0	0	0.148	0.900	0	0.911
ADAM17	JAG1	9606.ENSP00000309968	9606.ENSP00000254958	0	0	0	0	0	0.351	0.900	0	0.932
ADAM17	EGF	9606.ENSP00000309968	9606.ENSP00000265171	0	0	0	0	0	0	0.900	0	0.900
ADAM17	DHH	9606.ENSP00000309968	9606.ENSP00000266991	0	0	0	0	0	0	0.900	0	0.900
ADAM17	ERBB2	9606.ENSP00000309968	9606.ENSP00000269571	0	0	0	0	0	0	0.900	0	0.900
ADAM17	NOTCH1	9606.ENSP00000309968	9606.ENSP00000277541	0	0	0	0	0	0.300	0.900	0	0.927
ADAM17	IHH	9606.ENSP00000309968	9606.ENSP00000295731	0	0	0	0	0	0	0.900	0	0.900
ADAM17	SHH	9606.ENSP00000309968	9606.ENSP00000297261	0	0	0	0	0	0	0.900	0	0.900
ADAM17	UBC	9606.ENSP00000309968	9606.ENSP00000441543	0	0	0	0	0	0	0.900	0	0.900
ADAM17	GHR	9606.ENSP00000309968	9606.ENSP00000483403	0	0	0	0	0	0	0.900	0	0.900
ADAM17	PRKCA	9606.ENSP00000309968	9606.ENSP00000408695	0	0	0	0	0	0	0.900	0	0.900
ADAM17	TRAF6	9606.ENSP00000309968	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0	0.900
ADAM17	BDNF	9606.ENSP00000309968	9606.ENSP00000414303	0	0	0	0	0	0	0.900	0	0.900
ADAM17	JAG2	9606.ENSP00000309968	9606.ENSP00000328169	0	0	0	0	0	0.148	0.900	0	0.911
ADAM17	DLL1	9606.ENSP00000309968	9606.ENSP00000355718	0	0	0	0	0	0.148	0.900	0	0.911
ADAM17	ERBB4	9606.ENSP00000309968	9606.ENSP00000342235	0	0	0	0	0	0.213	0.900	0	0.917
ADAM17	TNF	9606.ENSP00000309968	9606.ENSP00000398698	0	0	0	0	0	0.213	0.900	0	0.917
ADCY1	GNGT1	9606.ENSP00000297323	9606.ENSP00000248572	0	0	0	0	0	0	0.900	0	0.900
ADCY1	ADCY3	9606.ENSP00000297323	9606.ENSP00000260600	0	0	0	0.817	0	0	0.900	0	0.900
ADCY1	GNAO1	9606.ENSP00000297323	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY1	ADCY8	9606.ENSP00000297323	9606.ENSP00000286355	0	0	0	0.858	0	0	0.900	0	0.900
ADCY1	ADCY9	9606.ENSP00000297323	9606.ENSP00000294016	0	0	0	0.710	0	0.255	0.900	0	0.922
ADCY1	ADCY6	9606.ENSP00000297323	9606.ENSP00000311405	0	0	0	0.879	0	0	0.900	0	0.900
ADCY1	ADCY5	9606.ENSP00000297323	9606.ENSP00000419361	0	0	0	0.885	0	0	0.900	0	0.900
ADCY1	HRAS	9606.ENSP00000297323	9606.ENSP00000407586	0	0	0	0	0	0.138	0.900	0	0.910
ADCY1	ADCY7	9606.ENSP00000297323	9606.ENSP00000378187	0	0	0	0.837	0	0.253	0.900	0	0.922
ADCY1	ADCY4	9606.ENSP00000297323	9606.ENSP00000312126	0	0	0	0.840	0	0.253	0.900	0	0.922
ADCY1	GNAI1	9606.ENSP00000297323	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY1	GNAI2	9606.ENSP00000297323	9606.ENSP00000312999	0	0	0	0	0	0.344	0.900	0	0.931
ADCY1	GNB1	9606.ENSP00000297323	9606.ENSP00000481878	0	0	0	0	0	0.070	0.900	0	0.903
ADCY1	ADCY2	9606.ENSP00000297323	9606.ENSP00000342952	0	0	0	0.839	0	0.386	0.900	0	0.936
ADCY1	GNAI3	9606.ENSP00000297323	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY1	GNAS	9606.ENSP00000297323	9606.ENSP00000360141	0	0	0	0	0	0.269	0.900	0	0.923
ADCY2	ADCY3	9606.ENSP00000342952	9606.ENSP00000260600	0	0	0	0.835	0	0.253	0.900	0	0.922
ADCY2	GNAO1	9606.ENSP00000342952	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY2	ADCY8	9606.ENSP00000342952	9606.ENSP00000286355	0	0	0	0.856	0	0.253	0.900	0	0.922
ADCY2	ADCY9	9606.ENSP00000342952	9606.ENSP00000294016	0	0	0	0.720	0	0.464	0.900	0	0.944
ADCY2	ADCY6	9606.ENSP00000342952	9606.ENSP00000311405	0	0	0	0.869	0	0.346	0.900	0	0.931
ADCY2	ADCY4	9606.ENSP00000342952	9606.ENSP00000312126	0	0	0	0.957	0	0	0.900	0	0.900
ADCY2	GNAI2	9606.ENSP00000342952	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY2	ADCY7	9606.ENSP00000342952	9606.ENSP00000378187	0	0	0	0.950	0	0	0.900	0	0.900
ADCY2	GNAI3	9606.ENSP00000342952	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY2	GNAI1	9606.ENSP00000342952	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY2	ADCY5	9606.ENSP00000342952	9606.ENSP00000419361	0	0	0	0.875	0	0.694	0.900	0	0.968
ADCY2	GNAS	9606.ENSP00000342952	9606.ENSP00000360141	0	0	0	0	0	0.726	0.900	0	0.971
ADCY3	ADCY8	9606.ENSP00000260600	9606.ENSP00000286355	0	0	0	0.857	0	0	0.900	0	0.900
ADCY3	ADCY6	9606.ENSP00000260600	9606.ENSP00000311405	0	0	0	0.836	0	0	0.900	0	0.900
ADCY3	ADCY5	9606.ENSP00000260600	9606.ENSP00000419361	0	0	0	0.851	0	0	0.900	0	0.900
ADCY3	GNAI3	9606.ENSP00000260600	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY3	ADCY7	9606.ENSP00000260600	9606.ENSP00000378187	0	0	0	0.831	0	0.253	0.900	0	0.922
ADCY3	GNAI2	9606.ENSP00000260600	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY3	ADCY4	9606.ENSP00000260600	9606.ENSP00000312126	0	0	0	0.826	0	0.253	0.900	0	0.922
ADCY3	GNAI1	9606.ENSP00000260600	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY3	ADCY9	9606.ENSP00000260600	9606.ENSP00000294016	0	0	0	0.711	0	0.255	0.900	0	0.922
ADCY3	GNAO1	9606.ENSP00000260600	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY3	GNAS	9606.ENSP00000260600	9606.ENSP00000360141	0	0	0	0	0	0.269	0.900	0	0.923
ADCY4	GNAO1	9606.ENSP00000312126	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY4	ADCY8	9606.ENSP00000312126	9606.ENSP00000286355	0	0	0	0.842	0	0.253	0.900	0	0.922
ADCY4	ADCY9	9606.ENSP00000312126	9606.ENSP00000294016	0	0	0	0.738	0	0.787	0.900	0	0.977
ADCY4	ADCY6	9606.ENSP00000312126	9606.ENSP00000311405	0	0	0	0.863	0	0.346	0.900	0	0.931
ADCY4	GNAI3	9606.ENSP00000312126	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY4	GNAI1	9606.ENSP00000312126	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY4	GNAI2	9606.ENSP00000312126	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY4	ADCY5	9606.ENSP00000312126	9606.ENSP00000419361	0	0	0	0.859	0	0.346	0.900	0	0.931
ADCY4	GNAS	9606.ENSP00000312126	9606.ENSP00000360141	0	0	0	0	0	0.256	0.900	0	0.922
ADCY4	ADCY7	9606.ENSP00000312126	9606.ENSP00000378187	0	0	0	0.940	0	0.787	0.900	0	0.977
ADCY5	GNAO1	9606.ENSP00000419361	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY5	ADCY8	9606.ENSP00000419361	9606.ENSP00000286355	0	0	0	0.870	0	0	0.900	0	0.900
ADCY5	ADCY9	9606.ENSP00000419361	9606.ENSP00000294016	0	0	0	0.681	0	0.255	0.900	0	0.922
ADCY5	ADCY6	9606.ENSP00000419361	9606.ENSP00000311405	0	0	0	0.969	0	0	0.900	0	0.900
ADCY5	GNAI2	9606.ENSP00000419361	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY5	GNAI1	9606.ENSP00000419361	9606.ENSP00000343027	0	0	0	0	0	0.391	0.900	0	0.936
ADCY5	GNAI3	9606.ENSP00000419361	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY5	GNAS	9606.ENSP00000419361	9606.ENSP00000360141	0	0	0	0	0	0.697	0.900	0	0.968
ADCY5	ADCY7	9606.ENSP00000419361	9606.ENSP00000378187	0	0	0	0.858	0	0.346	0.900	0	0.931
ADCY6	GNAO1	9606.ENSP00000311405	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY6	ADCY8	9606.ENSP00000311405	9606.ENSP00000286355	0	0	0	0.876	0	0	0.900	0	0.900
ADCY6	ADCY9	9606.ENSP00000311405	9606.ENSP00000294016	0	0	0	0.700	0	0.255	0.900	0	0.922
ADCY6	GNAI3	9606.ENSP00000311405	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY6	GNAI2	9606.ENSP00000311405	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY6	ADCY7	9606.ENSP00000311405	9606.ENSP00000378187	0	0	0	0.854	0	0.346	0.900	0	0.931
ADCY6	GNAI1	9606.ENSP00000311405	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY6	GNAS	9606.ENSP00000311405	9606.ENSP00000360141	0	0	0	0	0	0.479	0.900	0	0.945
ADCY7	GNAO1	9606.ENSP00000378187	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY7	ADCY8	9606.ENSP00000378187	9606.ENSP00000286355	0	0	0	0.838	0	0.253	0.900	0	0.922
ADCY7	ADCY9	9606.ENSP00000378187	9606.ENSP00000294016	0	0	0	0.710	0	0.787	0.900	0	0.977
ADCY7	GNAI2	9606.ENSP00000378187	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY7	GNAI1	9606.ENSP00000378187	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY7	CTNNB1	9606.ENSP00000378187	9606.ENSP00000344456	0	0	0	0	0	0	0.900	0	0.900
ADCY7	TCF7L2	9606.ENSP00000378187	9606.ENSP00000358404	0	0	0	0	0	0	0.900	0	0.900
ADCY7	GNAI3	9606.ENSP00000378187	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY7	GNAS	9606.ENSP00000378187	9606.ENSP00000360141	0	0	0	0	0	0.256	0.900	0	0.922
ADCY8	GNAO1	9606.ENSP00000286355	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY8	GNAI1	9606.ENSP00000286355	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY8	GNAI2	9606.ENSP00000286355	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY8	ADCY9	9606.ENSP00000286355	9606.ENSP00000294016	0	0	0	0.698	0	0.255	0.900	0	0.922
ADCY8	GNAI3	9606.ENSP00000286355	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY8	GNAS	9606.ENSP00000286355	9606.ENSP00000360141	0	0	0	0	0	0.269	0.900	0	0.923
ADCY9	GNAO1	9606.ENSP00000294016	9606.ENSP00000262494	0	0	0	0	0	0.201	0.900	0	0.916
ADCY9	GNAI1	9606.ENSP00000294016	9606.ENSP00000343027	0	0	0	0	0	0.201	0.900	0	0.916
ADCY9	GNAI3	9606.ENSP00000294016	9606.ENSP00000358867	0	0	0	0	0	0.201	0.900	0	0.916
ADCY9	GNAI2	9606.ENSP00000294016	9606.ENSP00000312999	0	0	0	0	0	0.201	0.900	0	0.916
ADCY9	GNAS	9606.ENSP00000294016	9606.ENSP00000360141	0	0	0	0	0	0.941	0.900	0	0.993
ADIPOQ	CREBBP	9606.ENSP00000389814	9606.ENSP00000262367	0	0	0	0	0	0	0.900	0	0.900
ADIPOQ	EP300	9606.ENSP00000389814	9606.ENSP00000263253	0	0	0	0	0	0	0.900	0	0.900
ADIPOQ	PPARG	9606.ENSP00000389814	9606.ENSP00000287820	0	0	0	0	0	0	0.900	0	0.900
ADIPOQ	NCOA3	9606.ENSP00000389814	9606.ENSP00000361066	0	0	0	0	0	0	0.900	0	0.900
ADIPOQ	NCOA1	9606.ENSP00000389814	9606.ENSP00000385216	0	0	0	0	0	0	0.900	0	0.900
ADIPOQ	NCOA2	9606.ENSP00000389814	9606.ENSP00000399968	0	0	0	0	0	0	0.900	0	0.900
ADIPOQ	RXRA	9606.ENSP00000389814	9606.ENSP00000419692	0	0	0	0	0	0	0.900	0	0.900
ADRBK1	GNGT1	9606.ENSP00000312262	9606.ENSP00000248572	0	0	0	0	0	0.173	0.900	0	0.913
ADRBK1	SMO	9606.ENSP00000312262	9606.ENSP00000249373	0	0	0	0	0	0.518	0.900	0	0.949
ADRBK1	PRKCG	9606.ENSP00000312262	9606.ENSP00000263431	0	0	0	0.648	0	0.213	0.900	0	0.917
ADRBK1	CHRM1	9606.ENSP00000312262	9606.ENSP00000306490	0	0	0	0	0	0	0.900	0	0.900
ADRBK1	CXCL8	9606.ENSP00000312262	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0	0.900
ADRBK1	CCL4	9606.ENSP00000312262	9606.ENSP00000482259	0	0	0	0	0	0	0.900	0	0.900
ADRBK1	PRKCD	9606.ENSP00000312262	9606.ENSP00000378217	0	0	0	0.654	0	0.213	0.900	0	0.917
ADRBK1	CXCL12	9606.ENSP00000312262	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0	0.900
ADRBK1	PRKCA	9606.ENSP00000312262	9606.ENSP00000408695	0	0	0	0.652	0	0.213	0.900	0	0.917
ADRBK1	ADRBK2	9606.ENSP00000312262	9606.ENSP00000317578	0	0	0	0.983	0	0.491	0.900	0	0.946
ADRBK1	ARRB1	9606.ENSP00000312262	9606.ENSP00000409581	0	0	0	0	0	0.559	0.800	0	0.908
ADRBK1	GNG2	9606.ENSP00000312262	9606.ENSP00000334448	0	0	0	0	0	0.862	0.900	0	0.985
ADRBK1	GNB1	9606.ENSP00000312262	9606.ENSP00000481878	0	0	0	0	0	0.952	0.900	0	0.995
ADRBK2	F2R	9606.ENSP00000317578	9606.ENSP00000321326	0	0	0	0	0	0	0.900	0	0.900
AIFM2	TP53	9606.ENSP00000478931	9606.ENSP00000269305	0	0	0	0	0	0.189	0.900	0	0.915
AKT1	PPP2R5B	9606.ENSP00000451828	9606.ENSP00000164133	0	0	0	0	0	0.343	0.900	0	0.931
AKT1	ITGB4	9606.ENSP00000451828	9606.ENSP00000200181	0	0	0	0	0	0.070	0.900	0	0.903
AKT1	IL2RB	9606.ENSP00000451828	9606.ENSP00000216223	0	0	0	0	0	0	0.900	0	0.900
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0	0.516	0.900	0	0.949
AKT1	PPP2CB	9606.ENSP00000451828	9606.ENSP00000221138	0	0	0	0	0	0.172	0.900	0	0.913
AKT1	CDC37	9606.ENSP00000451828	9606.ENSP00000222005	0	0	0	0	0	0.868	0.600	0	0.945
AKT1	LAMB1	9606.ENSP00000451828	9606.ENSP00000222399	0	0	0	0	0	0	0.900	0	0.900
AKT1	RPS6KB1	9606.ENSP00000451828	9606.ENSP00000225577	0	0	0	0.856	0	0.764	0.900	0	0.975
AKT1	NFKB1	9606.ENSP00000451828	9606.ENSP00000226574	0	0	0	0	0	0.176	0.900	0	0.914
AKT1	IL2	9606.ENSP00000451828	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0	0.900
AKT1	CDKN1B	9606.ENSP00000451828	9606.ENSP00000228872	0	0	0	0	0	0.878	0.900	0	0.987
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0	0.623	0	0.830	0.600	0	0.929
AKT1	GNGT1	9606.ENSP00000451828	9606.ENSP00000248572	0	0	0	0	0	0.056	0.900	0	0.901
AKT1	YWHAH	9606.ENSP00000451828	9606.ENSP00000248975	0	0	0	0	0	0.165	0.900	0	0.912
AKT1	SMO	9606.ENSP00000451828	9606.ENSP00000249373	0	0	0	0	0	0.069	0.900	0	0.902
AKT1	RAF1	9606.ENSP00000451828	9606.ENSP00000251849	0	0	0	0.581	0	0.880	0.900	0	0.987
AKT1	RARA	9606.ENSP00000451828	9606.ENSP00000254066	0	0	0	0	0	0.505	0.900	0	0.948
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.898	0.900	0	0.989
AKT1	PPP2R5A	9606.ENSP00000451828	9606.ENSP00000261461	0	0	0	0	0	0.347	0.900	0	0.931
